Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
1,5 metermaatschappij	substantief	1.0	909355	909359	maatschappij waarin mensen die niet tot hetzelfde huishouden behoren in de publieke ruimte een fysieke afstand van minimaal anderhalve meter tot elkaar moeten bewaren om verspreiding van een virus te voorkomen	maatschappij waarin fysieke afstand nodig is	maatschappij waarin fysieke afstand van anderhalve meter moet worden gehouden om de verspreiding van het coronavirus tegen te gaan	0.8600162267684937	0.7832605242729187	0.8198457956314087	0.6738071441650391	0.6306027173995972	0.8209139108657837
112-centrale	substantief	1.0	313	314	alarmcentrale die bereikbaar is onder het telefoonnummer 112	alarmcentrale	alarmcentrale die bereikbaar is via het telefoonnummer 112	0.977039098739624	0.977039098739624	0.977039098739624	0.9660751223564148	0.7226995229721069	0.9640835523605347
200 eurobiljet	substantief	1.0	495566	495570	bankbiljet dat de waarde van 200 euro vertegenwoordigt	biljet van 200 euro	bankbiljet dat de waarde van 200 euro vertegenwoordigt	0.9999999403953552	0.9999999403953552	0.9999999403953552	0.9707071781158447	0.693568766117096	0.961618185043335
3D-monitor	substantief	1.0	232019	232022	monitor die driedimensionaal beeld weergeeft	monitor met 3D-beeld	monitor die beelden in 3D weergeeft	0.8694006204605103	0.8224881887435913	0.8452939987182617	0.8453406095504761	0.8198089599609375	0.9573265314102173
45 kilometerwagen	substantief	1.0	871087	871098	motorvoertuig met de officiële status van een bromfiets en het voorkomen van een kleine auto, dat drie of vier wielen heeft en maximaal 45 km per uur rijdt	autootje met bromfietsstatus	tweewielig motorvoertuig met een maximumsnelheid van 45 kilometer per uur, waarvan de bestuurder een bromfietsrijbewijs nodig heeft	0.7718473076820374	0.7526699304580688	0.7621380090713501	0.730010449886322	0.4889225661754608	0.6928808689117432
50PLUS	substantief	1.0	666319	666438	niet-ideologische Nederlandse politieke partij die zich richt op ouderen, in 2009 opgericht om 50-plussers meer te vertegenwoordigen in de Nederlandse politiek	Nederlandse politieke partij	50PLUS, Nederlandse politieke partij die in 2007 is opgericht om de belangen van 50-plussers te behartigen	0.7867137789726257	0.7590973377227783	0.7726588845252991	0.8457872867584229	0.8180773258209229	0.8478645086288452
à la	voegwoord	1.0	630248	630848	zoals (van) met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien met een soortnaam	zoals (van) met een eigennaam met een soortnaam	zoals (van) met een eigennaam met een soortnaam	0.8982993364334106	0.7037737369537354	0.789226770401001	0.5004124045372009	0.42614004015922546	0.8023626804351807
à la	voegwoord	2.0	630248	630976	in enige uit het Franse ontleende vaste verbindingen	in uit het Franse ontleende verbindingen	in uit het Frans ontleende verbindingen	0.9275578260421753	0.8987915515899658	0.9129481911659241	0.7117888927459717	0.41902926564216614	0.8414665460586548
à la	voegwoord	1.1	630248	630250	met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien	met een eigennaam	met de bijvoeglijke naam of bijwoord 'à la'	0.6927858591079712	0.6293978691101074	0.659572422504425	0.36876577138900757	0.5218549370765686	0.34534400701522827
à trois	adjectief	1.0	632759	632761	(Frans) met z'n drieën	met z'n drieën	met drie personen	0.8036956191062927	0.6991132497787476	0.7477654814720154	0.48930075764656067	0.7443860173225403	0.6273460388183594
